Region,Latitude,Longitude,Date,Year,Month,Month_Name,Season,Temperature,Precipitation
Alaotra-Mangoro,-17.4333,48.5833,2005-01-01,2005,1,January,Rainy,22.42,7.39
Alaotra-Mangoro,-17.4333,48.5833,2005-02-01,2005,2,February,Rainy,22.95,15.17
Alaotra-Mangoro,-17.4333,48.5833,2005-03-01,2005,3,March,Rainy,22.63,7.26
Alaotra-Mangoro,-17.4333,48.5833,2005-04-01,2005,4,April,Rainy,20.88,1.63
Alaotra-Mangoro,-17.4333,48.5833,2005-05-01,2005,5,May,Dry,19.11,4.28
Alaotra-Mangoro,-17.4333,48.5833,2005-06-01,2005,6,June,Dry,17.13,4.05
Alaotra-Mangoro,-17.4333,48.5833,2005-07-01,2005,7,July,Dry,15.86,2.73
Alaotra-Mangoro,-17.4333,48.5833,2005-08-01,2005,8,August,Dry,15.48,2.34
Alaotra-Mangoro,-17.4333,48.5833,2005-09-01,2005,9,September,Dry,16.61,2.35
Alaotra-Mangoro,-17.4333,48.5833,2005-10-01,2005,10,October,Dry,18.0,0.99
Alaotra-Mangoro,-17.4333,48.5833,2005-11-01,2005,11,November,Rainy,20.52,3.75
Alaotra-Mangoro,-17.4333,48.5833,2005-12-01,2005,12,December,Rainy,21.9,9.91
Alaotra-Mangoro,-17.4333,48.5833,2006-01-01,2006,1,January,Rainy,21.64,9.53
Alaotra-Mangoro,-17.4333,48.5833,2006-02-01,2006,2,February,Rainy,22.05,10.83
Alaotra-Mangoro,-17.4333,48.5833,2006-03-01,2006,3,March,Rainy,21.68,8.68
Alaotra-Mangoro,-17.4333,48.5833,2006-04-01,2006,4,April,Rainy,20.54,2.29
Alaotra-Mangoro,-17.4333,48.5833,2006-05-01,2006,5,May,Dry,19.36,1.15
Alaotra-Mangoro,-17.4333,48.5833,2006-06-01,2006,6,June,Dry,17.57,3.0
Alaotra-Mangoro,-17.4333,48.5833,2006-07-01,2006,7,July,Dry,16.33,3.62
Alaotra-Mangoro,-17.4333,48.5833,2006-08-01,2006,8,August,Dry,16.41,2.19
Alaotra-Mangoro,-17.4333,48.5833,2006-09-01,2006,9,September,Dry,17.0,1.11
Alaotra-Mangoro,-17.4333,48.5833,2006-10-01,2006,10,October,Dry,18.53,1.46
Alaotra-Mangoro,-17.4333,48.5833,2006-11-01,2006,11,November,Rainy,21.03,8.48
Alaotra-Mangoro,-17.4333,48.5833,2006-12-01,2006,12,December,Rainy,21.75,10.72
Alaotra-Mangoro,-17.4333,48.5833,2007-01-01,2007,1,January,Rainy,22.59,18.46
Alaotra-Mangoro,-17.4333,48.5833,2007-02-01,2007,2,February,Rainy,22.58,13.4
Alaotra-Mangoro,-17.4333,48.5833,2007-03-01,2007,3,March,Rainy,21.62,7.58
Alaotra-Mangoro,-17.4333,48.5833,2007-04-01,2007,4,April,Rainy,20.38,4.31
Alaotra-Mangoro,-17.4333,48.5833,2007-05-01,2007,5,May,Dry,19.28,3.04
Alaotra-Mangoro,-17.4333,48.5833,2007-06-01,2007,6,June,Dry,16.39,1.65
Alaotra-Mangoro,-17.4333,48.5833,2007-07-01,2007,7,July,Dry,16.47,2.72
Alaotra-Mangoro,-17.4333,48.5833,2007-08-01,2007,8,August,Dry,16.25,2.42
Alaotra-Mangoro,-17.4333,48.5833,2007-09-01,2007,9,September,Dry,16.83,2.29
Alaotra-Mangoro,-17.4333,48.5833,2007-10-01,2007,10,October,Dry,18.4,2.36
Alaotra-Mangoro,-17.4333,48.5833,2007-11-01,2007,11,November,Rainy,20.45,2.99
Alaotra-Mangoro,-17.4333,48.5833,2007-12-01,2007,12,December,Rainy,21.67,5.76
Alaotra-Mangoro,-17.4333,48.5833,2008-01-01,2008,1,January,Rainy,22.14,10.3
Alaotra-Mangoro,-17.4333,48.5833,2008-02-01,2008,2,February,Rainy,21.5,16.09
Alaotra-Mangoro,-17.4333,48.5833,2008-03-01,2008,3,March,Rainy,20.91,5.44
Alaotra-Mangoro,-17.4333,48.5833,2008-04-01,2008,4,April,Rainy,20.38,2.97
Alaotra-Mangoro,-17.4333,48.5833,2008-05-01,2008,5,May,Dry,18.27,1.47
Alaotra-Mangoro,-17.4333,48.5833,2008-06-01,2008,6,June,Dry,16.33,2.02
Alaotra-Mangoro,-17.4333,48.5833,2008-07-01,2008,7,July,Dry,15.65,2.03
Alaotra-Mangoro,-17.4333,48.5833,2008-08-01,2008,8,August,Dry,16.08,1.36
Alaotra-Mangoro,-17.4333,48.5833,2008-09-01,2008,9,September,Dry,18.03,1.56
Alaotra-Mangoro,-17.4333,48.5833,2008-10-01,2008,10,October,Dry,19.28,2.95
Alaotra-Mangoro,-17.4333,48.5833,2008-11-01,2008,11,November,Rainy,21.09,5.26
Alaotra-Mangoro,-17.4333,48.5833,2008-12-01,2008,12,December,Rainy,22.1,4.54
Alaotra-Mangoro,-17.4333,48.5833,2009-01-01,2009,1,January,Rainy,22.79,9.85
Alaotra-Mangoro,-17.4333,48.5833,2009-02-01,2009,2,February,Rainy,21.8,11.54
Alaotra-Mangoro,-17.4333,48.5833,2009-03-01,2009,3,March,Rainy,22.09,8.09
Alaotra-Mangoro,-17.4333,48.5833,2009-04-01,2009,4,April,Rainy,20.49,8.22
Alaotra-Mangoro,-17.4333,48.5833,2009-05-01,2009,5,May,Dry,19.51,1.04
Alaotra-Mangoro,-17.4333,48.5833,2009-06-01,2009,6,June,Dry,17.62,1.16
Alaotra-Mangoro,-17.4333,48.5833,2009-07-01,2009,7,July,Dry,16.3,2.42
Alaotra-Mangoro,-17.4333,48.5833,2009-08-01,2009,8,August,Dry,16.8,3.39
Alaotra-Mangoro,-17.4333,48.5833,2009-09-01,2009,9,September,Dry,17.83,1.72
